Symbol,Name,Sector,FirmV2017,FirmV2022
MMM,3M,Industrials,73783.098295633,86259.31059
AOS,A. O. Smith,Industrials,5417.770530518961,10485.59206
ACN,Accenture,Information Technology,60273.59806704892,215457.8739
ADBE,Adobe,Information Technology,75309.049822972,218006.7983
AMD,Advanced Micro Devices,Information Technology,70983.1782773007,130651.3244
AFL,Aflac,Financials,20359.410904618744,42893.47174
AKAM,Akamai Technologies,Information Technology,10396.65597603872,19580.46515
ALK,Alaska Air Group,Industrials,4424.200997370407,7261.7728
ALLE,Allegion,Industrials,5684.622984807426,10002.88666
ALL,Allstate Corp,Financials,19502.287602416218,40002.7689
AAL,American Airlines Group,Industrials,12691.84194221585,11810.65523
AXP,American Express,Financials,93642.0477748778,144973.6438
AIG,American International Group,Financials,79244.32984555048,52964.70835
AMP,Ameriprise Financial,Financials,19389.263935501403,33277.20448
AME,Ametek,Industrials,38768.10588708751,31085.45331
APH,Amphenol,Information Technology,18988.249290050047,45192.97843
ADI,Analog Devices,Information Technology,40548.195163769116,86868.73805
ANSS,Ansys,Information Technology,12326.63368300397,27614.70157
AON,Aon,Financials,62972.67533651008,72451.76832
AAPL,Apple,Information Technology,684381.9729859441,2859799.675
AMAT,Applied Materials,Information Technology,46796.61123262328,113205.4446
ANET,Arista Networks,Information Technology,21812.928224979813,42862.20288
AJG,Arthur J. Gallagher & Co.,Financials,37994.82441980435,36563.83693
AIZ,Assurant,Financials,8111.089235974795,10564.61926
ADSK,Autodesk,Information Technology,18788.927709915926,46863.04461
ADP,Automatic Data Processing,Information Technology,32998.20135175019,98393.16173
BAC,Bank of America,Financials,353713.69088479993,334728.8883
BRK.B,Berkshire Hathaway,Financials,,
BLK,BlackRock,Financials,97531.06167457449,116939.6285
BK,BNY Mellon,Financials,38831.530830328506,40836.84966
BA,Boeing,Industrials,92759.57408496522,112109.4615
AVGO,Broadcom,Information Technology,74549.7454547903,258863.7266
BR,Broadridge Financial Solutions,Information Technology,8053.989293999433,18222.30733
BRO,Brown & Brown,Financials,10502.176465065857,20492.9024
CHRW,C. H. Robinson,Industrials,36916.953920163694,13405.55878
CDNS,Cadence Design Systems,Information Technology,14094.75278855211,45902.86438
COF,Capital One Financial,Financials,29955.936895610655,55709.66733
CARR,Carrier Global,Industrials,18558.50476256674,39897.57542
CAT,Caterpillar,Industrials,156743.68977728672,118882.8283
CBOE,Cboe Global Markets,Financials,8024.414128616939,12461.23418
CDW,CDW,Information Technology,10461.384126371458,24131.55123
CDAY,Ceridian,Information Technology,4455.470068910285,10444.86554
SCHW,Charles Schwab Corporation,Financials,69333.71874454479,157940.7278
CB,Chubb,Financials,36920.91301199652,93276.96282
CINF,Cincinnati Financial,Financials,12263.896904308524,22248.73882
CTAS,Cintas Corporation,Industrials,26461.67195617674,43941.09747
CSCO,Cisco Systems,Information Technology,128293.56960525337,234752.1638
C,Citigroup,Financials,45318.35030365691,103836.8522
CFG,Citizens Financial Group,Financials,10012.378478019724,18833.77664
CTXS,Citrix Systems,Information Technology,7834.594477412083,12658.13709
CME,CME Group,Financials,47614.59877362218,86191.07123
CTSH,Cognizant Technology Solutions,Information Technology,50308.24820817983,47825.82579
CMA,Comerica,Financials,9965.009456802205,11808.65638
CPRT,Copart,Industrials,18088.15778381037,29809.78893
GLW,Corning,Information Technology,14997.018730224578,31029.91565
CSX,CSX,Industrials,27673.429393681996,78760.46029
CMI,Cummins,Industrials,31149.64274737974,28753.72339
DE,Deere & Co.,Industrials,66009.45113232212,128127.2381
DAL,Delta Air Lines,Industrials,21141.38485773543,25158.95091
DFS,Discover Financial Services,Financials,40167.421295031716,32273.53088
DOV,Dover Corporation,Industrials,16722.212475874698,22828.82048
DXC,DXC Technology,Information Technology,5805.723134382374,7907.693056
ETN,Eaton Corporation,Industrials,29552.72423060369,60511.46547
EMR,Emerson Electric Company,Industrials,88066.46651283588,58628.69402
ENPH,Enphase Energy,Information Technology,8212.197181499188,27777.03219
EFX,Equifax,Industrials,16121.660847939045,28564.32845
RE,Everest Re,Financials,6594.366763656046,12090.22054
EXPD,Expeditors,Industrials,17206.715712187863,16943.78701
FFIV,F5 Networks,Information Technology,6905.551165486007,12807.35334
FAST,Fastenal,Industrials,46806.97992390696,34319.97645
FDX,FedEx,Industrials,79658.20004046617,58624.38912
FIS,Fidelity National Information Services,Information Technology,31391.85818362851,62945.82067
FITB,Fifth Third Bancorp,Financials,22242.764326275683,28528.75059
FRC,First Republic Bank,Financials,23957.74421514771,29031.78035
FISV,Fiserv,Information Technology,58234.74818539129,67997.2905
FLT,Fleetcor,Information Technology,11176.793503367595,20267.17184
FTNT,Fortinet,Information Technology,11084.36374664707,55428.13696
FTV,Fortive,Industrials,20324.732368610556,21740.58291
FBHS,Fortune Brands Home & Security,Industrials,9756.625060972307,10166.4768
BEN,Franklin Resources,Financials,4456.8092367920235,14015.13472
IT,Gartner,Information Technology,7757.499205737614,24627.29011
GNRC,Generac Holdings,Industrials,15220.274084928034,18990.09024
GD,General Dynamics,Industrials,258538.815120555,67714.37158
GE,General Electric,Industrials,119504.97123415512,101566.9719
GPN,Global Payments,Information Technology,14600.54886405839,40557.30586
GL,Globe Life,Financials,11002.812240332605,10148.38989
GS,Goldman Sachs,Financials,42283.516339922375,110154.1212
HPE,Hewlett Packard Enterprise,Information Technology,10593.325476594497,21070.13939
HON,Honeywell,Industrials,149852.87700248216,134951.5592
HWM,Howmet Aerospace,Industrials,9685.28048764588,15516.55731
HPQ,HP,Information Technology,11375.194510468493,38544.83046
HBAN,Huntington Bancshares,Financials,16601.93373395535,21292.35763
HII,Huntington Ingalls Industries,Industrials,8416.223036059773,8117.560832
IBM,IBM,Information Technology,25751.39550659996,116656.0461
IEX,IDEX Corporation,Industrials,20049.757705117434,14610.21389
