Symbol,Name,Differentiation,Cost leadership,Efficiency,Novelty
MMM,3M,40.80961990981969,85.29799254806079,80.15523817674035,35.51601718589245
AOS,A. O. Smith,55.784516759408696,80.11147466724513,61.889187055196004,45.67426082230233
ACN,Accenture,81.27192125901634,41.36494908388097,29.013311580296136,80.74673664759841
ADBE,Adobe,80.57956513669329,37.73890210462686,32.42486168750367,77.83180060385705
AMD,Advanced Micro Devices,78.68217214531825,42.63724575012713,44.451479272198256,73.78124653463635
AFL,Aflac,24.624965496391788,73.42995585263965,76.90682246997366,37.617343957871086
AKAM,Akamai Technologies,76.11119356501611,40.18115477978209,44.72282847436855,66.82750582922685
ALK,Alaska Air Group,59.706392936736066,70.9102359490467,62.844231143313564,45.24872534975534
ALLE,Allegion,50.49869165910768,72.34096936825931,70.88533038548681,42.616510891823374
ALL,Allstate Corp,44.129760231430545,64.36500847725182,62.10115399080437,51.1493184323549
AAL,American Airlines Group,59.7933537344167,68.50820014211935,68.20127370163657,48.569986755357846
AXP,American Express,28.48039705176254,65.3408240710029,87.80275652169456,38.608227794317216
AIG,American International Group,28.27955434431387,69.68327501220674,73.43177263272591,39.73009778005542
AMP,Ameriprise Financial,30.029923911604435,72.37340121592337,84.17204540714391,40.96199138931871
AME,Ametek,56.256080245668485,70.3630780953677,67.36058467750546,45.767152859271434
APH,Amphenol,78.66983745470596,41.19751937122374,34.97920778614868,72.89414697949844
ADI,Analog Devices,83.19933084760676,31.102722943342563,31.687941183494225,82.0252323595406
ANSS,Ansys,82.4870375587443,26.419677800466545,29.529495052383325,78.0449838746597
AON,Aon,33.98853469040412,65.28386683809853,73.22286570165204,44.891962367880026
AAPL,Apple,85.32479823721067,34.06760838988351,34.75769378397382,74.43923989831372
AMAT,Applied Materials,75.9418878235986,37.991895302074404,38.7783327828924,67.50217549462147
ANET,Arista Networks,75.09983005426027,37.20065829870233,34.70559029370437,69.42242815752289
AJG,Arthur J. Gallagher & Co.,37.19237861899805,64.13623708835732,64.94563763743372,57.74166699962178
AIZ,Assurant,21.067794629186345,79.87960272262701,81.12878587128748,34.45691105182942
ADSK,Autodesk,81.05988988571511,37.11869038535457,37.7363228575755,70.19776859131703
ADP,Automatic Data Processing,76.33630223858707,35.17935627351249,40.99196102426345,72.79319680943293
BAC,Bank of America,34.30332993020691,71.91771414132133,73.31201562488889,46.90167917522295
BRK.B,Berkshire Hathaway,32.92656677618466,70.03551258128508,73.38595413726229,44.14949662513801
BLK,BlackRock,33.0989730527738,67.82580561402106,80.03505847530974,44.76381439682646
BK,BNY Mellon,21.88495081740242,75.28292451402706,81.15841784906493,37.96238632577752
BA,Boeing,47.872115668203406,83.26243548237245,78.82850344273558,35.816043298155066
AVGO,Broadcom,74.99709169854479,42.786239792855646,43.03234924834881,72.69130308927576
BR,Broadridge Financial Solutions,87.81775210116515,31.115922116876916,34.16976395106202,79.24685028995982
BRO,Brown & Brown,29.28258182625787,65.0972845713834,75.94130355994923,41.664432563354865
CHRW,C. H. Robinson,50.34139175545638,74.5740717751555,73.53902808127862,39.03099566937175
CDNS,Cadence Design Systems,73.38741980592216,41.14863395057883,43.80430964559113,73.12930303483458
COF,Capital One Financial,36.72732744056858,59.21795821009924,70.88908113731156,52.00276273629739
CARR,Carrier Global,52.42509866235234,74.90496829412425,70.07993437405398,43.859724064051846
CAT,Caterpillar,52.451344625998395,72.66679907320703,73.45529791626832,46.0408142230227
CBOE,Cboe Global Markets,28.895801233026585,77.71492452600833,79.9762220832038,43.89757525324658
CDW,CDW,88.00310108108003,26.23205175267367,35.76845678037938,87.95076301331201
CDAY,Ceridian,83.96415419297135,32.961288084665696,35.83188723447743,77.1753787833123
SCHW,Charles Schwab Corporation,27.507163606721292,79.60617529247531,76.32656429382462,35.57517829794007
CB,Chubb,31.186662965126448,68.38570116907879,71.61895838024776,44.64874549070367
CINF,Cincinnati Financial,37.30557065230278,63.04215286151824,76.28684315677778,47.29964139603182
CTAS,Cintas Corporation,54.06651928229836,75.23533267636125,66.67966250796026,39.956439676346996
CSCO,Cisco Systems,86.55679319589956,34.57691635881251,30.59322694450247,78.65010492595508
C,Citigroup,31.2693542017577,68.46613056703899,71.91642415569437,43.43970603166282
CFG,Citizens Financial Group,35.637045861232814,68.31703026937089,71.5345143400093,50.672584077389736
CTXS,Citrix Systems,66.29756182644441,50.05281384277187,45.18855683157756,61.33915181767679
CME,CME Group,26.31317852536978,69.32417256454617,79.44161722257752,42.51698673217324
CTSH,Cognizant Technology Solutions,80.81932377802366,38.73386580812541,32.964187258111494,79.0220417556431
CMA,Comerica,17.26924247637075,78.50498463397975,88.40680077707624,37.26046369604511
CPRT,Copart,64.85502565463376,60.755849596075315,64.8641917009835,51.06014071613826
GLW,Corning,85.2879918465052,34.47464335673229,30.23149561331123,72.25067644118103
CSX,CSX,61.134832684734874,67.69323307076002,58.50214043424833,54.95998595462134
CMI,Cummins,57.58731988768534,67.40043577822546,67.11621557211475,45.256176150844986
DE,Deere & Co.,56.20520910042065,79.71721424000472,68.37338555564139,37.70204533751526
DAL,Delta Air Lines,49.72883687682475,88.94047691583981,70.19883788819268,41.9543354419158
DFS,Discover Financial Services,35.27609271121953,68.00970350799729,75.91198902224643,43.52645651883052
DOV,Dover Corporation,53.037461117617774,73.51559302534325,69.87742642041792,41.46651713073801
DXC,DXC Technology,77.37013836616208,37.99047111200239,39.52604754905058,66.49971363654781
ETN,Eaton Corporation,49.81177589726284,80.33565239904522,76.63655663569705,38.26600860463138
EMR,Emerson Electric Company,53.35170265695906,77.54684517011508,70.74909365738216,38.772739737345695
ENPH,Enphase Energy,73.7727661355422,44.8482726867036,40.753017122100616,67.06758860264915
EFX,Equifax,53.30274394128432,78.90949166659847,64.88655552761374,45.66466565876394
RE,Everest Re,28.334704083552648,72.61200910915143,71.78852110024985,43.52020361131829
EXPD,Expeditors,51.60408402399285,77.0812422010876,76.22582362943903,43.5619994306727
FFIV,F5 Networks,87.86205490796122,28.20340736204718,34.080510633564245,82.95889269726065
FAST,Fastenal,47.62584488834254,72.99026548186704,71.98428570269857,32.840411054744195
FDX,FedEx,54.678297349466725,73.38745346260228,74.66099749269523,41.90891451296247
FIS,Fidelity National Information Services,73.20764676609178,36.02535794077119,41.97275116307497,67.89540221969585
FITB,Fifth Third Bancorp,38.49413470678873,57.091717792545936,73.85702776787727,41.721558558819154
FRC,First Republic Bank,25.09965928796417,79.71190023022965,79.17479858421308,47.2407682650408
FISV,Fiserv,81.6685757487868,39.91445507542361,35.014332045598444,72.05260065364166
FLT,Fleetcor,71.6715896556596,45.38808123512182,43.02403899693833,70.8735388677583
FTNT,Fortinet,80.20299616125965,37.9064448555025,38.16601835234896,75.84417700670225
FTV,Fortive,45.78458846122873,75.5340018346251,71.26092667179388,30.07105734796217
FBHS,Fortune Brands Home & Security,56.150804317878695,73.40739146039903,60.1910596734089,42.81320622216904
BEN,Franklin Resources,33.85657114248095,67.46703782380986,76.98319809433792,43.46185537160331
IT,Gartner,80.68089982564855,35.31884314925298,39.012467446854544,73.0171003799319
GNRC,Generac Holdings,40.12976023143055,77.73154537389975,75.31707404192703,29.741666999621778
GD,General Dynamics,62.869836628267734,71.56258755639476,69.01360673423584,55.62708147786404
GE,General Electric,58.157718248609086,69.08273580193136,57.789992833067956,53.03906519785324
